name,lat,long
Dnipro city,48.464717,35.04618299999993
Diemen,52.3389926,4.959188799999993
Dnipro,48.464717,35.04618299999993
Wijk bij Duurstede,51.9756003,5.338449500000024
Sevenum,51.41063399999999,6.0262189000000035
Someren,51.3849667,5.712366800000041
Dnipropetrovsk Oblast,48.464717,35.04618299999993
Purmerend,52.5143815,4.964061099999981
Berlin,52.52000659999999,13.404953999999975
Dalfsen,52.507755,6.259667000000036
Uden,51.6631071,5.62392269999998
Heerhugowaard,52.662677,4.832476700000029
Arnedo,42.22567919999999,-2.1020751999999447
Zutphen,52.142736,6.19605839999997
Ukkel,50.8023982,4.3406700000000455
Kavala,40.937607,24.412866000000008
Berlicum NB,51.6788511,5.401200099999983
Hellendoorn,52.3870446,6.454294699999991
Hoogland,52.1842738,5.374608299999977
Capelle aan den IJssel,51.9380734,4.591778200000022
Goirle,51.5236773,5.064194799999996
Horst,51.45039449999999,6.0514923000000636
Agnita,45.974793,24.6262749
Kano,12.0021794,8.591956100000061
Athens,37.9838096,23.727538800000048
Haarlemmermeer,52.3003784,4.6743593999999575
Brühl,50.8267554,6.898786599999994
Ammerzoden,51.7481635,5.222762299999999
Feodosia,45.031933,35.38243299999999
